datetime,equity,cash,positions_value,positions,return,return_cum
2022-08-22,21047.021,21047.021,0.0,{'SPY': 0},0.0,110.47
2022-08-23,21047.021,21047.021,0.0,{'SPY': 0},0.0,110.47
2022-08-24,21110.445,354.337,20756.108,{'SPY': 51},0.301,111.104
2022-08-25,21405.505,354.337,21051.168,{'SPY': 51},1.398,114.055
2022-08-26,21403.675,21403.675,0.0,{'SPY': 0},-0.009,114.037
2022-08-29,21261.6,265.157,20996.443,{'SPY': 53},-0.664,112.616
2022-08-30,21029.54,265.157,20764.382,{'SPY': 53},-1.091,110.295
2022-08-31,20870.487,265.157,20605.329,{'SPY': 53},-0.756,108.705
2022-09-01,20936.716,265.157,20671.558,{'SPY': 53},0.317,109.367
2022-09-02,20934.936,20934.936,0.0,{'SPY': 0},-0.009,109.349
2022-09-06,20854.531,91.012,20763.518,{'SPY': 54},-0.384,108.545
2022-09-07,21225.392,91.012,21134.38,{'SPY': 54},1.778,112.254
2022-09-08,21223.612,21223.612,0.0,{'SPY': 0},-0.008,112.236
2022-09-09,21223.612,21223.612,0.0,{'SPY': 0},0.0,112.236
2022-09-12,21223.612,21223.612,0.0,{'SPY': 0},0.0,112.236
2022-09-13,21223.612,21223.612,0.0,{'SPY': 0},0.0,112.236
2022-09-14,21300.482,333.999,20966.483,{'SPY': 54},0.362,113.005
2022-09-15,21062.45,333.999,20728.451,{'SPY': 54},-1.117,110.625
2022-09-16,20908.075,333.999,20574.076,{'SPY': 54},-0.733,109.081
2022-09-19,20906.315,20906.315,0.0,{'SPY': 0},-0.008,109.063
2022-09-20,20906.315,20906.315,0.0,{'SPY': 0},0.0,109.063
2022-09-21,20906.315,20906.315,0.0,{'SPY': 0},0.0,109.063
