datetime,equity,cash,positions_value,positions,return,return_cum
2020-03-10,11731.546,-3.558,11735.104,{'SPY': 43},5.118,17.315
2020-03-11,11158.709,-3.558,11162.267,{'SPY': 43},-4.883,11.587
2020-03-12,10090.327,-3.558,10093.884,{'SPY': 43},-9.574,0.903
2020-03-13,11019.157,-3.558,11022.715,{'SPY': 43},9.205,10.192
2020-03-16,9736.776,-3.558,9740.334,{'SPY': 43},-11.638,-2.632
2020-03-17,10338.097,-3.558,10341.655,{'SPY': 43},6.176,3.381
2020-03-18,9801.87,-3.558,9805.428,{'SPY': 43},-5.187,-1.981
2020-03-19,9807.976,-3.558,9811.534,{'SPY': 43},0.062,-1.92
2020-03-20,9365.411,-3.558,9368.969,{'SPY': 43},-4.512,-6.346
2020-03-23,9102.277,-3.558,9105.835,{'SPY': 43},-2.81,-8.977
2020-03-24,9964.939,-3.558,9968.497,{'SPY': 43},9.477,-0.351
2020-03-25,10095.074,-3.558,10098.632,{'SPY': 43},1.306,0.951
2020-03-26,10693.372,-3.558,10696.929,{'SPY': 43},5.927,6.934
2020-03-27,10365.987,-3.558,10369.545,{'SPY': 43},-3.062,3.66
2020-03-30,10705.24,-3.558,10708.797,{'SPY': 43},3.273,7.052
2020-03-31,10542.364,-3.558,10545.922,{'SPY': 43},-1.521,5.424
2020-04-01,10068.474,-3.558,10072.032,{'SPY': 43},-4.495,0.685
2020-04-02,10303.783,-3.558,10307.341,{'SPY': 43},2.337,3.038
2020-04-03,10154.001,-3.558,10157.559,{'SPY': 43},-1.454,1.54
2020-04-06,10839.468,-3.558,10843.026,{'SPY': 43},6.751,8.395
2020-04-07,10845.196,-3.558,10848.754,{'SPY': 43},0.053,8.452
2020-04-08,11212.278,-3.558,11215.836,{'SPY': 43},3.385,12.123
2020-04-09,11382.928,-3.558,11386.486,{'SPY': 43},1.522,13.829
2020-04-13,11273.661,-3.558,11277.219,{'SPY': 43},-0.96,12.737
2020-04-14,11613.326,-3.558,11616.884,{'SPY': 43},3.013,16.133
2020-04-15,11362.877,-3.558,11366.435,{'SPY': 43},-2.157,13.629
2020-04-16,11422.621,-3.558,11426.179,{'SPY': 43},0.526,14.226
2020-04-17,11730.368,-3.558,11733.926,{'SPY': 43},2.694,17.304
2020-04-20,11520.838,-3.558,11524.396,{'SPY': 43},-1.786,15.208
2020-04-21,11169.308,-3.558,11172.866,{'SPY': 43},-3.051,11.693
2020-04-22,11420.987,-3.558,11424.545,{'SPY': 43},2.253,14.21
2020-04-23,11416.485,-3.558,11420.043,{'SPY': 43},-0.039,14.165
2020-04-24,11579.361,-3.558,11582.919,{'SPY': 43},1.427,15.794
2020-04-27,11745.917,-3.558,11749.475,{'SPY': 43},1.438,17.459
2020-04-28,11691.079,-3.558,11694.637,{'SPY': 43},-0.467,16.911
2020-04-29,11994.732,-3.558,11998.29,{'SPY': 43},2.597,19.947
2020-04-30,11880.146,-3.558,11883.704,{'SPY': 43},-0.955,18.801
